pert_id,pert_iname,wells,unique_plates,retains_12_plate_gate,previously_exposed,split_hash,split
BRD-A67862938,naftidrofuryl,14,13,True,False,813e0e82b82eeebbf967159c2701842dd9795521ba6a0c2291195c3facfee0f1,train
BRD-A68723818,brompheniramine,16,15,True,False,97e1010c42d83c9131cd4daa3257b9a6347b5258cb6013a2da9ca37e0c6a00da,train
BRD-A75409952,wortmannin,125,110,True,True,39ef274ab510d8ab25ce581e4be3c11e523b37bea7c737a314a5ece0e7b93ae8,train
BRD-A79672927,tropicamide,16,12,True,False,f40a0f009bc9042de220e16f0491a19f1bec94121803bce438503d98ebb2a9a9,train
BRD-A79768653,sirolimus,23,20,True,True,d01507990a55ab956ab15259d2173d66d008584e2c5e787954021f22bb99eeba,train
BRD-A80017228,bendroflumethiazide,13,13,True,False,e223f801f6ec144c30052bc15e67549540b6ce52520a71aca5558f495e4a9462,train
BRD-A84481105,thioridazine,25,21,True,True,2762c93aae52c6aa3350f08d430a0479fcd4b8e2e62ad7eda8ae125e14abe1d6,train
BRD-A87606379,nadolol,16,15,True,False,dc9cd8c4477e43a8f9fbf914a2175a90451a59b193723fbe0870e1263204d010,train
BRD-A93255169,thalidomide,20,20,True,False,a2c676fca4ecc611f9003a7819230c26923d1d6c3464bb3ff89476b658cd3d09,train
BRD-A95869247,indapamide,17,12,True,False,83b259f07a7bbd338e0de64bfc989c5eb592a3276f3ae0c1f0d617d55a631a97,train
BRD-K02130563,panobinostat,21,12,True,False,e3279b9b7117023ebca54099b889948914806414f29b550ff8a98e7067078aa3,train
BRD-K02637541,celecoxib,14,13,True,False,b55379caa9cee59590e520dafc634f827317d72b4ba38b26ccba77cca7428da8,train
BRD-K05104363,PD-184352,14,13,True,False,d6a2973cf75860e6083e8898fb2872cdb0eaf8759309ad1025a4d1e04957bbe0,train
BRD-K06854232,AM-580,14,14,True,False,d53da98ec38104a3c7bfb693d2e897582f069cf8f533167dd2b9ac3eb28f434e,train
BRD-K06980535,promazine,14,14,True,False,b237671e314836e1b668ba6fe724a08312a2e49f8d76749060fd3464698b98c7,train
BRD-K07859598,GW-5074,13,12,True,False,9024d633683c9e112bea446e6d7a464c688b3981f7809ec515658881ac029942,train
BRD-K08252256,diclofenac,13,13,True,False,9f6ec365d29cdb73358497076857d9840e6bd183f2fe239a4d28717e9d44edb6,train
BRD-K10995081,perphenazine,18,17,True,False,de81dc730391fcceb2eaf6e2ff5802225038ccc0d062074ed5b2f1dc75919713,train
BRD-K12219985,glipizide,14,13,True,False,d23cdd696520d03210d4650452c1fadf98dd3a0a82f82ad0ecc3a0c72f5b72c8,train
BRD-K12539581,nocodazole,16,15,True,True,9fefe41176a3266eb74aca82be1e07df1731f880bbb1c2efb5713be104a1494c,train
BRD-K14888893,minoxidil,12,12,True,False,7f0efd692e298679029716fb02f9b69c4bd81d6a500a8fab5ff7b6c675c2b57a,train
BRD-K17561142,amiodarone,17,17,True,False,c66c1e043f3064158b76780282aac27c39ee9551ee13fdf8350db84e08a7d287,train
BRD-K18910433,estradiol,35,32,True,False,b8d99bbbe3b2d4d05473e00c711a1e8a9bfbc232c5877f9f31646c5cc880851d,train
BRD-K19540840,saracatinib,14,13,True,False,de77765d73f3cbc03e442b9b33effc13c05e5b913ff0610fc62fd993d576939e,train
BRD-K21680192,mitoxantrone,19,15,True,False,fb3978dc005db64736e3150d2f3d910df7e8e7c1b50b7571fd0c21d78d663fa8,train
BRD-K21733600,rofecoxib,15,14,True,False,e3f453df245acad03b1e1f9067646136aa7af328c0c9a66a15e96a63d1537d2c,train
BRD-K22134346,simvastatin,14,13,True,False,98ab87e4c7dd56550de8d1b20109ac14b4843aa58719efff5f9a133780a07764,train
BRD-K24132293,piperlongumine,19,19,True,False,ce7b2a89d2d35e8fd615e9bbe3238c24121dab0ca0b3430f03c16992b26d22fc,train
BRD-K29950728,clomifene,12,12,True,False,bf788ef817be46460ed1a13c254cc130874ee6cd6ac4f7a7eb79b6b80e1888da,train
BRD-K32107296,temozolomide,12,12,True,False,b1b0dc74b20cd1a1ee027516b91fe4db2f8854cd9df0712cbe6eb769ddb3f262,train
BRD-K32164935,tolazamide,22,18,True,False,8c2b2b7059e53f0a121e706baba8f84d0985c13f4aa375e60be71fe8e2eb160f,train
BRD-K34157611,cimetidine,14,13,True,False,cc388bf7b1c4fd556fbd6e290333c717bd0cb679f93dcec8a327cd47ec1671b4,train
BRD-K35960502,niclosamide,22,22,True,True,c4651e62faf6f332c33d6df1beb27c7a2ee462836e94bf13db1c457882d1dcd7,train
BRD-K37206356,rhamnetin,13,12,True,False,e2118fa732113594d22c48263804f66409c0a05d679fb11d47131c91afe1f0c0,train
BRD-K38436528,imipramine,17,12,True,False,8b1920387c0cb10615c7a99a0d6eb1767717a8a1840b08d2a1a94e0e5e14553c,train
BRD-K39915878,loxapine,13,13,True,False,7d9412ad05182b030f0b9843950d2fc799cb2ea1a321c176dcd1eec705a2bdaf,train
BRD-K42500029,CGP-57380,13,12,True,False,a8b95ddf298c681e0f58a3d72340dba35f04f8f75f2d7c053416d2b29bf7f4da,train
BRD-K42635745,suloctidil,13,12,True,False,f4d07c3254fcdcea82462ed4751254f4ac8d31ab66fc9967f3d8450c8726f57b,train
BRD-K45033733,famciclovir,14,13,True,False,d4a57524e497e334b5c1ab88a544f9dd5229ae6c57bcd4da44372058e792e84f,train
BRD-K45542189,diethylcarbamazine,12,12,True,False,c3660d9331669d02408bb975545c79162398406d0192d75d9d1ca04010f7be57,train
BRD-K49049886,CGS-15943,24,23,True,False,8465dcb6c24c0c6fed1bd37a1bc078b4df5ec3334296661db9ef4fd941e3bc5e,train
BRD-K50140147,NVP-TAE684,17,13,True,True,4a4b86a31d9d9e921a05f046058b8c7e28f8bd46f6eae4ec71097d2b8fb964fd,train
BRD-K51350053,toremifene,13,12,True,False,8c3f6a09451f38ea3f5a404d918ae5ebbb9aa8e9c2ce60d44fae05dc85adc80c,train
BRD-K52075715,oxibendazole,13,12,True,False,98801ac62085bc08e3ebc5ba0255dc9508f2c55be813ff7c97039bc6859ce976,train
BRD-K56558538,ambroxol,13,12,True,False,edf47ad7383922a57f549355cb21c8b229ec9bd0f79661afb848d6c2ab08c74f,train
BRD-K59369769,tozasertib,22,15,True,False,945c287684ef1c9ff3d33ae571fc6cd602b7d311ece1007568170d2d21bd83c6,train
BRD-K59597909,phenothiazine,12,12,True,False,9c3336a86852963832478deac2ec715ea0cd7ae6aa4400abb7374d318fd03e33,train
BRD-K61250553,loperamide,12,12,True,False,e7e2025eb37659b0fd10bfa12f0adfdd97296cc5b81b505b2040432a69e5f97d,train
BRD-K63550407,erythromycin,13,12,True,False,faa3db344ed87274c3d4a93a780020c5d38e65df2aa600ca48b180abb1798374,train
BRD-K63630713,etacrynic-acid,13,12,True,False,ed0b06160636669fc813a5ceed0848f7b8e3f4f12c2639ba5e8ef798ad80ad0e,train
BRD-K63828191,raloxifene,16,15,True,False,ff81e5b9d44a1a73078a2ca90ffc31dcdf9f0c659aabd1a0e5fa4179a1739e6b,train
BRD-K64052750,gefitinib,19,13,True,False,8dd1fc8d0adf51c824cc7ff9ab52c18e847685235ff62c4b2494a9915a325a7a,train
BRD-K64890080,BI-2536,12,12,True,True,193c32f3520f4575a363d697076d58596089bbafac3365cf279d1e5f09228f06,train
BRD-K67017579,cilostazol,13,12,True,False,d199f43fb75ddb2c52a17ea6f58e296465d84a35aa240fa38564fd4a204e2805,train
BRD-K68202742,trichostatin-a,19,19,True,True,c95fd3610b90dc750d830b2c20243714c2cf43fedf615601edc92a01a0475c5c,train
BRD-K70778732,trazodone,12,12,True,False,b253436f90a29c78f4d876c769f2c0a2a27d9f9f42f28f92290321ca6dd1cb37,train
BRD-K71799949,carbamazepine,18,17,True,False,e844bfd090e9f63a508251ea400a63d4201494865abc13471965f75e4c2f3a1b,train
BRD-K72703948,ZM-447439,13,12,True,False,858a881b74d46f248592707ed3f62cc9e4e9d32c0c88fea5a1cc888e87445749,train
BRD-K75089421,procainamide,14,13,True,False,f53233c78b9a5d29cc6e6c9e325a3e9a2c8bf4a6159bff525c63caa3414f870d,train
BRD-K77925998,quipazine,13,12,True,False,f3ee0d2a45b8d2be293fac813a8898743219bdec302485b6b77c9847539e1655,train
BRD-K77987382,mebendazole,32,29,True,True,80dba1098d5fc4361e96f6a5ec8a9dc7855199706e9941d8541194a65ec97623,train
BRD-K81418486,vorinostat,151,112,True,True,4cd13f4590112d6747b6d37d54399d670b0e659c616fd3ed97656a456ace4cb1,train
BRD-K87909389,alvocidib,21,17,True,False,87273439ba2b2a2e63ed3391759b106a9d8951d82bad7d51cd1d82121e974a67,train
BRD-K88429204,pyrimethamine,18,13,True,False,f9cd2ef505e908b7893e4d0e876bdbfdfee1239d0209f46b8700b23ed7806a68,train
BRD-K89997465,chlorpromazine,19,15,True,False,f8c7f3370ae00a31da16e29475aac93e8de2eede0a93738f2f5b8a19c26a5205,train
BRD-K90382497,GW-843682X,15,15,True,True,cf9e085131cf0cf58e4fb9521939abfe05a2dc80a168eb9c2be8e1326b80291a,train
BRD-K92723993,imatinib,12,12,True,False,cbeff00bb477fa41d5a08c1f0c1b66e4a3e2266cf1b25b139fe6ed1faf98823e,train
BRD-K96799727,pifithrin-mu,15,15,True,True,4ea1630e403e57ca62bdb4cfd7577bbe9368bf2c09762171d32bd69d66f72c18,train
BRD-K97764662,PD-173074,24,13,True,True,b8349a1e6cdc96b17181dc82e7cc0f498f5f865e28c96d6a0bf6cdaa32c91232,train
BRD-K98530306,clonidine,14,14,True,False,cbb4a36402975b06bb83ffcaeb3dc43249c34e7a56cd98ef83052d113950da40,train
BRD-K99616396,motesanib,14,13,True,False,8a83f66d24947dd1e3fb56a4fe31d7e39b041dda76878e7bc9a2738240a65fbe,train
BRD-A06352418,terfenadine,14,13,True,False,2613a29aea46990a14350c89848bd987256fcc41b3f946150491f2b94fb68bf1,validation
BRD-A09056319,alfuzosin,16,15,True,False,31cce184a686f3627bf383f3a45b42e3d99cc8bf53ee61189b050d4802dc1547,validation
BRD-A25234499,aminoglutethimide,17,16,True,False,1e4b07b7cc51c66350041f0f49017ee8f8c3ae259c95ad31e71142d8c57bf8df,validation
BRD-A29734509,disopyramide,16,16,True,False,02fae6a12a7fe6fd33f971d2f07c6adb53d942393a0fc3d40061c9dd40d93d54,validation
BRD-A42759514,ornidazole,16,15,True,False,07be810889df0e5ac4ab816680dc92b3d1ad0945ab8fa7a60620f72e28e6c985,validation
BRD-A47598013,citalopram,13,12,True,False,17df9e61ee5dfbd9f1526a03f9789a0e404f908ef829ef23f7f6a542eac1887f,validation
BRD-A64977602,mirtazapine,12,12,True,False,131f4db60beff2214c063c25a1d5347e33ec5994597f765c3b900a52d76263a1,validation
BRD-A66559694,naltrexone,13,12,True,False,27be3db4d4f5d839461c9da925c75b27c441c446b90e2e0978a41342c3ab2de1,validation
BRD-A76490030,K784-3131,12,12,True,False,077951a78219acfdacbd3b3996a49047ff5c50a314bccab302b239cee29fdce3,validation
BRD-A91699651,chloroquine,19,19,True,False,2904804596095a228f309c5bff30736ab6da2e251efdb76d6f8dcfc2f86e3abd,validation
BRD-A97701745,pindolol,14,13,True,False,37e4303517ef355388e27d0bcc916fb73bd754688943f5c32f39178c05fe133c,validation
BRD-K01292756,pimozide,12,12,True,False,1c015cf25db1b26def4c78d04b368ea80af2cd54880353c53ffcd7cfa1307620,validation
BRD-K11129031,gemfibrozil,17,12,True,False,11a9c0162bc49d1c7e23405d71e9cd2e7890c66310bec590cc0fd3fd6d46467e,validation
BRD-K25224017,pirenperone,15,14,True,False,0cf4a5b505a9c724a2489750fb91cc12d8f043d5f6bb25fbc8a66100c62f92ab,validation
BRD-K28307902,flutamide,13,13,True,False,1da8f12fe34893216e7025df302c6a95e0dea78f696f0f7697cbee8ae170b20d,validation
BRD-K30240666,clemastine,12,12,True,False,083ab0576a3d837c2a13c13967b471e7c5619e807b7e51d2345f2afaf2b83974,validation
BRD-K32821942,azathioprine,12,12,True,False,179d8f8f3e8326a9336818cbe7a9e3f9d512e216f4df8a55d7d8d086569c5a0b,validation
BRD-K36927236,glibenclamide,20,16,True,False,11aaad2a76b3b6350d5e2555109de1cd352209d21540e6fd129fdcde1d7ce2aa,validation
BRD-K37991163,paroxetine,14,13,True,False,10ee6cc3e332bf4ad7b2ad169a624e5c87b54c4e686ab305611c6a7c40f1c0f2,validation
BRD-K39987650,bisacodyl,13,12,True,False,25c955d556c4a0de64f8ba4f648cd5dd32dfae03977f92ee5aad8a14c65ccfac,validation
BRD-K46937689,phenazone,14,13,True,False,38ea879f1f65ea1897b53767edf10854876d43e225d3122477b059d3769e031e,validation
BRD-K54233340,dorsomorphin,12,12,True,False,40f6cf78f66133cb53ae4f0bb094b91031c0d338b3a2f1fd2cae8b3a8a5de5f8,validation
BRD-K55127134,fluphenazine,21,12,True,False,29acd50feae2101efded52417e859857abb6de07bdcbd40d0703033e51fb233d,validation
BRD-K57569181,pentoxifylline,14,13,True,False,12a8587b165987dd6cc7362f863b9c911a31abacc2b08d36ca72aa123ceb7357,validation
BRD-K60762818,desipramine,16,16,True,False,0d198c73da17cff4227b11367fc4b28df8e12da72c76815be0128af8f8a4b233,validation
BRD-K63068307,ZSTK-474,13,12,True,False,24cb76f9732656673be3d6cdff67fd25bbbc05aa8ec66f13c54155818caf442d,validation
BRD-K68143200,NSC-95397,13,12,True,False,3787103bdf19452b99fa2b82856a3f130ce6d15b6b271c87d2d7322e3d41b286,validation
BRD-K68507560,dicycloverine,12,12,True,False,047b6baa789fa30b3582a0a3513a78e72f8dc61ea1facbc75cef098242bea6f7,validation
BRD-K79131256,albendazole,21,20,True,False,40d8228eafc08e588f2b4d4e9cd5f2746adfb11c1611252fe66858cba756d01d,validation
BRD-K80738081,resveratrol,19,13,True,False,2b0ec7cc12c2bfbfd55249b63e716c5d7851188fc2e8d7aa2b47631855ffea4b,validation
BRD-K85119730,tolbutamide,14,13,True,False,31420dacc61697191bcb078cdc6dc1dae7448ec54b439c3f55b8a1088fd3112f,validation
BRD-K86301799,dipyridamole,15,15,True,False,23d69cc2252f429892a4681803926765d451fc29e46270c6824f9e95dd7df7c6,validation
BRD-K88378636,withaferin-a,23,14,True,False,3a31003fd1dbabdf4e152669eb28b241a8361c2c75654b488e343d73c08a9e44,validation
BRD-K96354014,nifedipine,12,12,True,False,137a00e0c2a99c085b64e82d6dcd9ec119f35a3cf14bf015d7e1edd57a078313,validation
